id,loan_amnt_USD,loan_amnt_EUR,funded_amnt_USD,funded_amnt_EUR,int_rate,installment_USD,installment_EUR,total_pymnt_USD,total_pymnt_EUR,exchange_rate,issue_date,loan_status,term_months,sub_grade,verification_status,state_address
373332.0,9950.0,9038.082814338286,68616520.0,62327818.109718524,0.1825,360.9700012207031,327.8871120125133,1072.8199462890625,974.4960321039697,1.100897192955017,10.0,1.0,36.0,21.0,0.0,1.0
575239.0,12000.0,10900.20037910145,12000.0,10900.20037910145,0.20989999771118165,324.5799865722656,294.83224105697946,959.75,871.788942820218,1.100897192955017,10.0,1.0,60.0,25.0,1.0,2.0
707689.0,10000.0,8924.29980495201,10000.0,8924.29980495201,0.1365999984741211,340.1300048828125,303.542213623401,3726.25,3325.417214820243,1.1205360889434814,2.0,1.0,36.0,13.0,1.0,0.0
709828.0,27200.0,24707.12085929662,27200.0,24707.12085929662,0.28989999771118163,553.8699951171875,503.1078275624405,41913.62109375,38072.23904463403,1.100897192955017,10.0,1.0,60.0,6.0,0.0,4.0
849994.0,11400.0,10526.076488797169,11400.0,10526.076488797169,0.28989999771118163,376.0899963378906,347.25895334421784,3753.60009765625,3465.849275112825,1.0830246210098267,3.0,0.0,36.0,10.0,0.0,1.0
1312426.0,15000.0,13496.099961290816,15000.0,13496.099961290816,0.15609999656677245,361.6700134277344,325.4089769481397,2880.35009765625,2591.566189432168,1.1114321947097778,4.0,1.0,60.0,16.0,1.0,4.0
4526500.0,10800.0,9717.191972129389,10800.0,9717.191972129389,0.28989999771118163,328.2200012207031,295.31266305130686,2950.419921875,2654.6108128939227,1.1114321947097778,4.0,1.0,36.0,1.0,1.0,2.0
6736790.0,18000.0,15946.200996660373,18000.0,15946.200996660373,0.28989999771118163,370.7799987792969,328.47402144867533,4432.02001953125,3926.3267807037746,1.1287955045700073,1.0,1.0,60.0,6.0,1.0,1.0
8138291.0,10350.0,9236.65029812533,68616520.0,61235439.60524857,0.22989999771118164,291.7200012207031,260.3396749994521,1432.1600341796875,1278.102551368985,1.1205360889434814,2.0,0.0,60.0,26.0,1.0,4.0
8214572.0,7000.0,6247.009863466407,7000.0,6247.009863466407,0.28989999771118163,233.80999755859375,208.65905156079882,7300.41015625,6515.104893349155,1.1205360889434814,2.0,1.0,36.0,11.0,1.0,2.0
12606806.0,24975.0,22253.47379315773,24975.0,22253.47379315773,0.28989999771118163,549.6500244140625,489.7546511994733,3831.550048828125,3414.0259699206767,1.122296690940857,6.0,1.0,60.0,10.0,1.0,2.0
13026045.0,12000.0,10709.159765942413,12000.0,10709.159765942413,0.28989999771118163,275.07000732421875,245.48072127116734,2799.580078125,2498.429194515847,1.1205360889434814,2.0,1.0,60.0,13.0,1.0,2.0
14187903.0,12000.0,10709.159765942413,12000.0,10709.159765942413,0.13989999771118164,279.1600036621094,249.1307566232165,2846.330078125,2540.150296103998,1.1205360889434814,2.0,1.0,60.0,15.0,1.0,4.0
14428496.0,21000.0,18603.901162770435,21000.0,18603.901162770435,0.28989999771118163,471.2900085449219,417.51584466528385,5155.27978515625,4567.06264711787,1.1287955045700073,1.0,1.0,60.0,11.0,1.0,4.0
14470171.0,21000.0,18894.539945807144,21000.0,18894.539945807144,0.28989999771118163,687.4199829101562,618.4992536496196,41913.62109375,37711.36133472782,1.1114321947097778,4.0,1.0,36.0,9.0,1.0,1.0
14550531.0,32000.0,29067.201010937202,32000.0,29067.201010937202,0.28989999771118163,1005.4299926757812,913.2823656103766,3089.0,2805.8932475870315,1.100897192955017,10.0,1.0,36.0,6.0,1.0,0.0
14669896.0,21500.0,19046.851190455447,21500.0,19046.851190455447,0.28989999771118163,482.510009765625,427.45564436795644,23855.939453125,21133.9780824273,1.1287955045700073,1.0,1.0,60.0,11.0,1.0,1.0
15389420.0,15000.0,13850.100643154168,15000.0,13850.100643154168,0.13989999771118164,348.95001220703125,322.19951923315057,41913.62109375,38700.52469783113,1.0830246210098267,3.0,0.0,60.0,14.0,1.0,2.0
16130931.0,20000.0,18247.60033603779,20000.0,18247.60033603779,0.13329999923706054,677.0700073242188,617.7451446585262,21119.05078125,19268.599906636835,1.0960345268249512,5.0,1.0,36.0,15.0,1.0,4.0
19137120.0,27000.0,24057.809506116464,27000.0,24057.809506116464,0.28989999771118163,586.9199829101562,522.9633016365063,4075.469970703125,3631.365933447179,1.122296690940857,6.0,1.0,60.0,9.0,1.0,1.0
19646726.0,28000.0,24988.03945386563,28000.0,24988.03945386563,0.28989999771118163,863.5399780273438,770.6489657477687,9472.0302734375,8453.123792173781,1.1205360889434814,2.0,1.0,36.0,4.0,0.0,3.0
22403152.0,11200.0,9995.215781546252,11200.0,9995.215781546252,0.28989999771118163,373.55999755859375,333.3761413350032,1113.030029296875,993.3013673359832,1.1205360889434814,2.0,0.0,36.0,11.0,0.0,3.0
25276116.0,28000.0,24805.20155036058,68616520.0,60787378.86729813,0.28989999771118163,587.9199829101562,520.838345413249,7040.27978515625,6236.984251490359,1.1287955045700073,1.0,1.0,60.0,7.0,1.0,4.0
31207716.0,35000.0,31235.049317332036,35000.0,31235.049317332036,0.28989999771118163,790.8200073242188,705.7514837115673,8674.33984375,7741.2409375665575,1.1205360889434814,2.0,1.0,60.0,12.0,1.0,1.0
31888136.0,4950.0,4677.304687407598,4950.0,4677.304687407598,0.19989999771118164,183.94000244140625,173.8067546708999,178.44000244140625,168.60974946266924,1.0583018064498901,11.0,1.0,36.0,24.0,1.0,2.0
34462112.0,14400.0,12850.991719130894,14400.0,12850.991719130894,0.28989999771118163,480.9800109863281,429.2409818231104,5280.8701171875,4712.806815679331,1.1205360889434814,2.0,1.0,36.0,11.0,1.0,3.0
34883768.0,10300.0,9124.770570311213,10300.0,9124.770570311213,0.28989999771118163,320.3500061035156,283.798088144891,3839.909912109375,3401.7764037535867,1.1287955045700073,1.0,1.0,36.0,4.0,0.0,4.0
35683280.0,22400.0,19844.161240288464,22400.0,19844.161240288464,0.28989999771118163,686.4400024414062,608.1172361710389,8221.1298828125,7283.099418387726,1.1287955045700073,1.0,1.0,36.0,2.0,1.0,0.0
36169416.0,24000.0,21261.601328880497,24000.0,21261.601328880497,0.1559000015258789,578.4199829101562,512.4222948872339,6899.47021484375,6112.241045353887,1.1287955045700073,1.0,1.0,60.0,16.0,1.0,0.0
36201872.0,21000.0,18603.901162770435,21000.0,18603.901162770435,0.28989999771118163,639.1500244140625,566.223042018168,7655.72998046875,6782.211613595194,1.1287955045700073,1.0,1.0,36.0,1.0,1.0,4.0
36241016.0,20000.0,17718.001107400414,20000.0,17718.001107400414,0.28989999771118163,411.9800109863281,364.9731145441298,4934.1298828125,4371.145936386468,1.1287955045700073,1.0,1.0,60.0,6.0,1.0,2.0
36561400.0,9600.0,8775.74352670075,9600.0,8775.74352670075,0.28989999771118163,309.7200012207031,283.1274266460764,1852.989990234375,1693.892178316729,1.0939244031906128,7.0,1.0,36.0,8.0,1.0,2.0
36763240.0,15000.0,13288.50083055031,15000.0,13288.50083055031,0.17860000610351562,379.760009765625,336.4294136786868,4527.35009765625,4010.7797021931406,1.1287955045700073,1.0,1.0,60.0,20.0,1.0,0.0
36802496.0,7800.0,6910.0204318861615,7800.0,6910.0204318861615,0.28989999771118163,260.5299987792969,230.80354034413054,3120.989990234375,2764.8852051579133,1.1287955045700073,1.0,1.0,36.0,11.0,1.0,2.0
36806600.0,20000.0,18088.30666190593,20000.0,18088.30666190593,0.28989999771118163,640.5700073242188,579.3413365449898,7665.75,6933.021839675269,1.1056866943836212,0.0,1.0,36.0,7.0,1.0,2.0
36950420.0,14000.0,12402.60077518029,14000.0,12402.60077518029,0.15989999771118163,340.3800048828125,301.54266517253154,4132.08984375,3660.6186213720252,1.1287955045700073,1.0,1.0,60.0,17.0,1.0,1.0
37011264.0,28000.0,24805.20155036058,28000.0,24805.20155036058,0.1559000015258789,978.739990234375,867.0658115414864,8760.16015625,7760.626367472125,1.1287955045700073,1.0,0.0,36.0,16.0,1.0,4.0
37051228.0,30000.0,26577.00166110062,30000.0,26577.00166110062,0.28989999771118163,667.1900024414062,591.063660105166,8366.83984375,7412.183880850221,1.1287955045700073,1.0,1.0,60.0,10.0,1.0,1.0
